M	Agapito
F	Agata
F	Agáta
F	Agate
F	Agatha
F	Agathe
F	Agathi
M	Agatho
F	Agatia
F	Agatina
M	Agatino
M	Agazio
F	Agda
M	Age
M	Åge
F	Ageet
F	Ageeth
M	Agenore
M	Ager
M	Agesilao
F	Agetina
M	Agge
M	Aggeo
F	Aggie
M	Agha
M	Aghasi
F	Aghavni
M	Aghvan
F	Ági
M	Ági
M	Agide
M	Ägidius
M	Agil
M	Agilbert
M	Agilmar
M	Agim
M	Ægir
M	Agis
M	Agisilaos
F	Agita
F	Agla
F	Aglaé
F	Aglaea
F	Aglaée
F	Aglaia
F	Aglaja
F	Aglaya
F	Agle
F	Agna
M	Agnar
F	Agne
M	Agne
F	Agne
F	Agnela
F	Agnella
M	Agnello
M	Agnelo
M	Agner
F	Agnes
F	Ágnes
F	Agnès
F	Agnesa
F	Agnese
F	Agneta
F	Agnete
F	Agnetha
F	Agnethe
F	Agneza
F	Agni
F	Agnieschka
F	Agnieshka
F	Agnieszka
F	Agniete
F	Agnija
M	Agnis
F	Agnita
M	Ago
M	Agon
F	Agora
F	Agoritsa
F	Agostina
F	Agostiña
M	Agostinho
M	Agostino
M	Ágoston
F	Ågot
F	Agota
F	Ágota
F	Ågoth
F	Agra
F	Agripina
F	Agrippina
M	Agrippino
M	Agris
F	Agrita
M	Agron
M	Agshin
M	Agu
F	Águeda
M	Aguinaldo
F	Agunde
F	Agurne
F	Agurtzane
M	Ágúst
F	Ágústa
M	Agusti
M	Agustin
M	Agustín
F	Agustina
F	Ágústína
M	Ah
M	Aharon
F	Aherine
M	Ahilan
M	Ahile
F	Ahlam
M	Ahlerich
F	Ahlke
M	Ahlrich
F	Ahlrike
M	Ahmad
M	Ahmed
M	Ahmet
M	Ahmo
M	Ahrend
F	Ahsen
M	Ahti
M	Ahto
F	Ahu
F	Ahuva
F	Ahuvah
F	Ai
M	Ai
F	Aia
M	Aiace
M	Aibek
M	Ai Bin
M	Ai Bing
F	Aicha
M	Ai Chuan
M	Ai Chun
M	Aicke
F	Aida
F	Aïda
M	Aidan
F	Aidana
M	Aidar
M	Aidas
F	Aide
